GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C03_001E,S0101_C03_001M,CALC_MALE,S0101_C04_001M,CALC_50_UP,PERC_50_UP
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population,Estimate!!Total!!Total population!!AGE!!50 and over,Estimate!!Total!!Total population!!AGE!!50 and over
1400000US36005000100,"Census Tract 1, Bronx County, New York",7080,290,6503,284,91.8503,(X),1099,15.5226
1400000US36005000200,"Census Tract 2, Bronx County, New York",4542,574,2264,351,49.8459,(X),1777,39.1237
1400000US36005000400,"Census Tract 4, Bronx County, New York",5634,517,2807,314,49.8225,(X),1930,34.2563
1400000US36005001600,"Census Tract 16, Bronx County, New York",5917,461,2365,265,39.9696,(X),2067,34.9332
1400000US36005001900,"Census Tract 19, Bronx County, New York",2765,307,1363,218,49.2948,(X),495,17.9024
1400000US36005002000,"Census Tract 20, Bronx County, New York",9409,1043,4119,786,43.7772,(X),2741,29.1317
1400000US36005002300,"Census Tract 23, Bronx County, New York",4600,323,2175,236,47.2826,(X),1518,33.0000
1400000US36005002400,"Census Tract 24, Bronx County, New York",172,247,121,197,70.3488,(X),0,0.0000
1400000US36005002500,"Census Tract 25, Bronx County, New York",5887,553,2958,444,50.2463,(X),1500,25.4799
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",2868,301,1259,204,43.8982,(X),593,20.6764
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",4702,491,2288,351,48.6601,(X),1027,21.8418
1400000US36005002800,"Census Tract 28, Bronx County, New York",5269,578,2222,354,42.1712,(X),2167,41.1273
1400000US36005003100,"Census Tract 31, Bronx County, New York",1703,242,863,166,50.6753,(X),370,21.7264
1400000US36005003300,"Census Tract 33, Bronx County, New York",3534,356,1518,280,42.9542,(X),831,23.5144
1400000US36005003500,"Census Tract 35, Bronx County, New York",3900,363,1727,226,44.2821,(X),837,21.4615
1400000US36005003700,"Census Tract 37, Bronx County, New York",269,87,151,70,56.1338,(X),146,54.2751
1400000US36005003800,"Census Tract 38, Bronx County, New York",1434,201,653,103,45.5370,(X),440,30.6834
1400000US36005003900,"Census Tract 39, Bronx County, New York",6742,733,3306,570,49.0359,(X),1112,16.4936
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",1485,192,735,117,49.4949,(X),574,38.6532
1400000US36005004100,"Census Tract 41, Bronx County, New York",5517,618,2864,434,51.9123,(X),1249,22.6391
