GEO_ID,NAME,S2401_C01_001E,S2401_C01_001M,S2401_C01_002E,S2401_C01_002M,PERC_Management,S2401_C01_018E,S2401_C01_018M,PERC_Service,S2401_C01_026E,S2401_C01_026M,PERC_Sales,S2401_C01_029E,S2401_C01_029M,PERC_Natural,S2401_C01_033E,S2401_C01_033M,PERC_Production
id,Geographic Area Name,Estimate!!Total!!16 years and over,Margin of Error!!Total MOE!!16 years and over,"Estimate!!Total!!16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total MOE!!16 years and over!!Management, business, science, and arts occupations","PERC_Management, business, science, and arts occupations",Estimate!!Total!!16 years and over!!Service occupations,Margin of Error!!Total MOE!!16 years and over!!Service occupations,PERC_Service occupations,Estimate!!Total!!16 years and over!!Sales and office occupations,Margin of Error!!Total MOE!!16 years and over!!Sales and office occupations,PERC_Sales,"Estimate!!Total!!16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total MOE!!16 years and over!!Natural resources, construction, and maintenance occupations",PERC_Natural,"Estimate!!Total!!16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total MOE!!16 years and over!!Production, transportation, and material moving occupations",PERC_Production
1400000US36005000100,"Census Tract 1, Bronx County, New York",0,17,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0
1400000US36005000200,"Census Tract 2, Bronx County, New York",1578,255,599,182,37.9594,230,96,14.5754,252,116,15.9696,102,73,6.4639,395,136,25.0317
1400000US36005000400,"Census Tract 4, Bronx County, New York",2808,343,1204,219,42.8775,511,211,18.198,592,181,21.0826,194,111,6.9088,307,132,10.933
1400000US36005001600,"Census Tract 16, Bronx County, New York",2313,253,668,183,28.8802,739,174,31.9498,557,174,24.0813,38,36,1.6429,311,119,13.4457
1400000US36005001900,"Census Tract 19, Bronx County, New York",1259,178,376,89,29.865,317,133,25.1787,263,78,20.8896,78,47,6.1954,225,64,17.8713
1400000US36005002000,"Census Tract 20, Bronx County, New York",2737,508,394,174,14.3953,933,340,34.0884,504,238,18.4143,175,127,6.3939,731,271,26.7081
1400000US36005002300,"Census Tract 23, Bronx County, New York",1358,222,231,110,17.0103,563,142,41.458,406,125,29.8969,67,55,4.9337,91,54,6.701
1400000US36005002400,"Census Tract 24, Bronx County, New York",131,202,94,142,71.7557,37,59,28.2443,0,12,0,0,12,0,0,12,0
1400000US36005002500,"Census Tract 25, Bronx County, New York",2361,381,409,156,17.3232,977,291,41.3808,379,113,16.0525,197,103,8.3439,399,226,16.8996
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",979,192,163,96,16.6496,334,125,34.1164,189,81,19.3054,80,62,8.1716,213,101,21.7569
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",1460,366,222,109,15.2055,630,199,43.1507,449,170,30.7534,51,47,3.4932,108,65,7.3973
1400000US36005002800,"Census Tract 28, Bronx County, New York",2363,396,715,261,30.2581,607,255,25.6877,692,221,29.2848,60,70,2.5391,289,152,12.2302
1400000US36005003100,"Census Tract 31, Bronx County, New York",909,158,181,78,19.912,252,104,27.7228,315,112,34.6535,60,45,6.6007,101,52,11.1111
