GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Percent!!Total population,Margin of Error!!Percent MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000US36001000100,"Census Tract 1, Albany County, New York",2022,218,(X),(X),935,151,(X),(X)
1400000US36001000200,"Census Tract 2, Albany County, New York",4700,690,(X),(X),2022,365,(X),(X)
1400000US36001000300,"Census Tract 3, Albany County, New York",5966,741,(X),(X),2801,455,(X),(X)
1400000US36001000401,"Census Tract 4.01, Albany County, New York",2479,263,(X),(X),913,114,(X),(X)
1400000US36001000403,"Census Tract 4.03, Albany County, New York",4236,365,(X),(X),2130,317,(X),(X)
1400000US36001000404,"Census Tract 4.04, Albany County, New York",5090,465,(X),(X),2400,277,(X),(X)
1400000US36001000501,"Census Tract 5.01, Albany County, New York",3215,505,(X),(X),1379,328,(X),(X)
1400000US36001000502,"Census Tract 5.02, Albany County, New York",3594,268,(X),(X),1508,176,(X),(X)
1400000US36001000600,"Census Tract 6, Albany County, New York",3707,545,(X),(X),1799,389,(X),(X)
1400000US36001000700,"Census Tract 7, Albany County, New York",3810,541,(X),(X),1791,319,(X),(X)
1400000US36001000800,"Census Tract 8, Albany County, New York",2122,409,(X),(X),915,193,(X),(X)
1400000US36001001100,"Census Tract 11, Albany County, New York",1542,281,(X),(X),838,242,(X),(X)
1400000US36001001400,"Census Tract 14, Albany County, New York",3990,557,(X),(X),2099,324,(X),(X)
1400000US36001001500,"Census Tract 15, Albany County, New York",4533,582,(X),(X),2524,466,(X),(X)
1400000US36001001600,"Census Tract 16, Albany County, New York",4265,385,(X),(X),2194,319,(X),(X)
1400000US36001001700,"Census Tract 17, Albany County, New York",4486,406,(X),(X),1906,309,(X),(X)
1400000US36001001801,"Census Tract 18.01, Albany County, New York",6993,533,(X),(X),3176,375,(X),(X)
1400000US36001001802,"Census Tract 18.02, Albany County, New York",4286,379,(X),(X),1875,242,(X),(X)
1400000US36001001901,"Census Tract 19.01, Albany County, New York",2715,244,(X),(X),1384,183,(X),(X)
1400000US36001001902,"Census Tract 19.02, Albany County, New York",2380,370,(X),(X),1123,196,(X),(X)
1400000US36001002000,"Census Tract 20, Albany County, New York",5455,959,(X),(X),2453,501,(X),(X)
1400000US36001002100,"Census Tract 21, Albany County, New York",3492,592,(X),(X),1785,347,(X),(X)
1400000US36001002200,"Census Tract 22, Albany County, New York",2707,314,(X),(X),1377,232,(X),(X)
1400000US36001002300,"Census Tract 23, Albany County, New York",2140,376,(X),(X),1091,278,(X),(X)
1400000US36001002500,"Census Tract 25, Albany County, New York",3413,539,(X),(X),1505,324,(X),(X)
1400000US36001002600,"Census Tract 26, Albany County, New York",4551,622,(X),(X),2186,480,(X),(X)
1400000US36001012700,"Census Tract 127, Albany County, New York",2728,352,(X),(X),1244,227,(X),(X)
1400000US36001012800,"Census Tract 128, Albany County, New York",3755,326,(X),(X),1750,219,(X),(X)
1400000US36001012900,"Census Tract 129, Albany County, New York",3315,298,(X),(X),1704,225,(X),(X)
1400000US36001013000,"Census Tract 130, Albany County, New York",6801,388,(X),(X),2777,261,(X),(X)
1400000US36001013100,"Census Tract 131, Albany County, New York",2591,26,(X),(X),1314,130,(X),(X)
1400000US36001013200,"Census Tract 132, Albany County, New York",3163,287,(X),(X),1329,201,(X),(X)
1400000US36001013300,"Census Tract 133, Albany County, New York",4626,378,(X),(X),2228,270,(X),(X)
1400000US36001013400,"Census Tract 134, Albany County, New York",2331,288,(X),(X),1140,178,(X),(X)
1400000US36001013503,"Census Tract 135.03, Albany County, New York",5133,351,(X),(X),2413,223,(X),(X)
1400000US36001013505,"Census Tract 135.05, Albany County, New York",2821,233,(X),(X),1361,152,(X),(X)
1400000US36001013506,"Census Tract 135.06, Albany County, New York",6990,439,(X),(X),3563,396,(X),(X)
1400000US36001013507,"Census Tract 135.07, Albany County, New York",2322,153,(X),(X),1083,122,(X),(X)
1400000US36001013508,"Census Tract 135.08, Albany County, New York",6524,413,(X),(X),3113,286,(X),(X)
1400000US36001013601,"Census Tract 136.01, Albany County, New York",9269,504,(X),(X),4720,337,(X),(X)
1400000US36001013602,"Census Tract 136.02, Albany County, New York",4434,345,(X),(X),2210,328,(X),(X)
1400000US36001013703,"Census Tract 137.03, Albany County, New York",2601,222,(X),(X),1632,210,(X),(X)
1400000US36001013705,"Census Tract 137.05, Albany County, New York",6674,462,(X),(X),3046,280,(X),(X)
1400000US36001013706,"Census Tract 137.06, Albany County, New York",2107,147,(X),(X),933,112,(X),(X)
1400000US36001013707,"Census Tract 137.07, Albany County, New York",5907,329,(X),(X),2745,284,(X),(X)
1400000US36001013801,"Census Tract 138.01, Albany County, New York",7277,366,(X),(X),3344,299,(X),(X)
1400000US36001013802,"Census Tract 138.02, Albany County, New York",4206,278,(X),(X),2076,196,(X),(X)
1400000US36001013901,"Census Tract 139.01, Albany County, New York",2318,204,(X),(X),1187,136,(X),(X)
1400000US36001013902,"Census Tract 139.02, Albany County, New York",5475,203,(X),(X),2777,374,(X),(X)
1400000US36001014001,"Census Tract 140.01, Albany County, New York",4158,352,(X),(X),2179,246,(X),(X)
1400000US36001014002,"Census Tract 140.02, Albany County, New York",4666,470,(X),(X),2316,328,(X),(X)
1400000US36001014100,"Census Tract 141, Albany County, New York",5271,331,(X),(X),2365,223,(X),(X)
1400000US36001014201,"Census Tract 142.01, Albany County, New York",5612,361,(X),(X),2613,240,(X),(X)
1400000US36001014202,"Census Tract 142.02, Albany County, New York",5994,357,(X),(X),2882,254,(X),(X)
1400000US36001014203,"Census Tract 142.03, Albany County, New York",6556,312,(X),(X),3388,248,(X),(X)
1400000US36001014301,"Census Tract 143.01, Albany County, New York",3060,399,(X),(X),1441,195,(X),(X)
1400000US36001014302,"Census Tract 143.02, Albany County, New York",8395,340,(X),(X),4025,306,(X),(X)
1400000US36001014401,"Census Tract 144.01, Albany County, New York",4135,16,(X),(X),2165,134,(X),(X)
1400000US36001014402,"Census Tract 144.02, Albany County, New York",3228,33,(X),(X),1680,125,(X),(X)
1400000US36001014501,"Census Tract 145.01, Albany County, New York",2479,174,(X),(X),1352,143,(X),(X)
1400000US36001014502,"Census Tract 145.02, Albany County, New York",3454,180,(X),(X),1683,155,(X),(X)
1400000US36001014503,"Census Tract 145.03, Albany County, New York",2806,17,(X),(X),1378,72,(X),(X)
1400000US36001014606,"Census Tract 146.06, Albany County, New York",3546,242,(X),(X),1754,163,(X),(X)
1400000US36001014607,"Census Tract 146.07, Albany County, New York",8018,434,(X),(X),3781,292,(X),(X)
1400000US36001014608,"Census Tract 146.08, Albany County, New York",4246,335,(X),(X),2211,249,(X),(X)
1400000US36001014609,"Census Tract 146.09, Albany County, New York",4585,282,(X),(X),2567,280,(X),(X)
1400000US36001014611,"Census Tract 146.11, Albany County, New York",2209,153,(X),(X),1099,103,(X),(X)
1400000US36001014612,"Census Tract 146.12, Albany County, New York",1755,139,(X),(X),845,108,(X),(X)
1400000US36001014613,"Census Tract 146.13, Albany County, New York",2941,217,(X),(X),1625,203,(X),(X)
1400000US36001014614,"Census Tract 146.14, Albany County, New York",5371,335,(X),(X),2695,266,(X),(X)
1400000US36001014615,"Census Tract 146.15, Albany County, New York",2984,293,(X),(X),1446,202,(X),(X)
1400000US36001014700,"Census Tract 147, Albany County, New York",2894,134,(X),(X),1575,107,(X),(X)
1400000US36001014801,"Census Tract 148.01, Albany County, New York",2801,20,(X),(X),1489,80,(X),(X)
1400000US36001014802,"Census Tract 148.02, Albany County, New York",1652,135,(X),(X),798,82,(X),(X)
1400000US36001014803,"Census Tract 148.03, Albany County, New York",3353,18,(X),(X),1760,144,(X),(X)
1400000US36003940200,"Census Tract 9402, Allegany County, New York",2,3,(X),(X),0,12,(X),(X)
1400000US36003950100,"Census Tract 9501, Allegany County, New York",2308,154,(X),(X),1167,86,(X),(X)
1400000US36003950300,"Census Tract 9503, Allegany County, New York",4963,278,(X),(X),2415,171,(X),(X)
1400000US36003950400,"Census Tract 9504, Allegany County, New York",3746,293,(X),(X),1961,195,(X),(X)
1400000US36003950500,"Census Tract 9505, Allegany County, New York",3891,171,(X),(X),1932,124,(X),(X)
1400000US36003950600,"Census Tract 9506, Allegany County, New York",3616,257,(X),(X),1807,159,(X),(X)
1400000US36003950700,"Census Tract 9507, Allegany County, New York",3384,260,(X),(X),1669,160,(X),(X)
1400000US36003950800,"Census Tract 9508, Allegany County, New York",6187,191,(X),(X),3357,191,(X),(X)
1400000US36003950900,"Census Tract 9509, Allegany County, New York",3630,263,(X),(X),1825,171,(X),(X)
1400000US36003951000,"Census Tract 9510, Allegany County, New York",3296,260,(X),(X),1603,198,(X),(X)
1400000US36003951100,"Census Tract 9511, Allegany County, New York",3819,311,(X),(X),1804,207,(X),(X)
1400000US36003951200,"Census Tract 9512, Allegany County, New York",4656,274,(X),(X),2290,170,(X),(X)
1400000US36003951300,"Census Tract 9513, Allegany County, New York",3527,205,(X),(X),1925,137,(X),(X)
1400000US36005000100,"Census Tract 1, Bronx County, New York",7080,290,(X),(X),6503,284,(X),(X)
1400000US36005000200,"Census Tract 2, Bronx County, New York",4542,574,(X),(X),2264,351,(X),(X)
1400000US36005000400,"Census Tract 4, Bronx County, New York",5634,517,(X),(X),2807,314,(X),(X)
1400000US36005001600,"Census Tract 16, Bronx County, New York",5917,461,(X),(X),2365,265,(X),(X)
1400000US36005001900,"Census Tract 19, Bronx County, New York",2765,307,(X),(X),1363,218,(X),(X)
1400000US36005002000,"Census Tract 20, Bronx County, New York",9409,1043,(X),(X),4119,786,(X),(X)
1400000US36005002300,"Census Tract 23, Bronx County, New York",4600,323,(X),(X),2175,236,(X),(X)
1400000US36005002400,"Census Tract 24, Bronx County, New York",172,247,(X),(X),121,197,(X),(X)
