GEO_ID,FIPS,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,TractID,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000U,36001000100,"Census Tract 1, Albany County, New York",2022,218,935,151,46.241345203,(X)
1400000U,36001000200,"Census Tract 2, Albany County, New York",4700,690,2022,365,43.021276596,(X)
1400000U,36001000300,"Census Tract 3, Albany County, New York",5966,741,2801,455,46.949379819,(X)
1400000U,36001000401,"Census Tract 4.01, Albany County, New York",2479,263,913,114,36.829366680,(X)
1400000U,36001000403,"Census Tract 4.03, Albany County, New York",4236,365,2130,317,50.283286119,(X)
1400000U,36001000404,"Census Tract 4.04, Albany County, New York",5090,465,2400,277,47.151277014,(X)
1400000U,36001000501,"Census Tract 5.01, Albany County, New York",3215,505,1379,328,42.892690513,(X)
1400000U,36001000502,"Census Tract 5.02, Albany County, New York",3594,268,1508,176,41.958820256,(X)
1400000U,36001000600,"Census Tract 6, Albany County, New York",3707,545,1799,389,48.529808470,(X)
1400000U,36001000700,"Census Tract 7, Albany County, New York",3810,541,1791,319,47.007874016,(X)
1400000U,36001000800,"Census Tract 8, Albany County, New York",2122,409,915,193,43.119698398,(X)
1400000U,36001001100,"Census Tract 11, Albany County, New York",1542,281,838,242,54.345006485,(X)
1400000U,36001001400,"Census Tract 14, Albany County, New York",3990,557,2099,324,52.606516291,(X)
1400000U,36001001500,"Census Tract 15, Albany County, New York",4533,582,2524,466,55.680564747,(X)
1400000U,36001001600,"Census Tract 16, Albany County, New York",4265,385,2194,319,51.441969519,(X)
1400000U,36001001700,"Census Tract 17, Albany County, New York",4486,406,1906,309,42.487739634,(X)
1400000U,36001001801,"Census Tract 18.01, Albany County, New York",6993,533,3176,375,45.416845417,(X)
1400000U,36001001802,"Census Tract 18.02, Albany County, New York",4286,379,1875,242,43.747083528,(X)
1400000U,36001001901,"Census Tract 19.01, Albany County, New York",2715,244,1384,183,50.976058932,(X)
1400000U,36001001902,"Census Tract 19.02, Albany County, New York",2380,370,1123,196,47.184873950,(X)
1400000U,36001002000,"Census Tract 20, Albany County, New York",5455,959,2453,501,44.967919340,(X)
1400000U,36001002100,"Census Tract 21, Albany County, New York",3492,592,1785,347,51.116838488,(X)
1400000U,36001002200,"Census Tract 22, Albany County, New York",2707,314,1377,232,50.868119690,(X)
1400000U,36001002300,"Census Tract 23, Albany County, New York",2140,376,1091,278,50.981308411,(X)
1400000U,36001002500,"Census Tract 25, Albany County, New York",3413,539,1505,324,44.096103135,(X)
1400000U,36001002600,"Census Tract 26, Albany County, New York",4551,622,2186,480,48.033399253,(X)
1400000U,36001012700,"Census Tract 127, Albany County, New York",2728,352,1244,227,45.601173021,(X)
1400000U,36001012800,"Census Tract 128, Albany County, New York",3755,326,1750,219,46.604527297,(X)
1400000U,36001012900,"Census Tract 129, Albany County, New York",3315,298,1704,225,51.402714932,(X)
1400000U,36001013000,"Census Tract 130, Albany County, New York",6801,388,2777,261,40.832230554,(X)
1400000U,36001013100,"Census Tract 131, Albany County, New York",2591,26,1314,130,50.714010035,(X)
1400000U,36001013200,"Census Tract 132, Albany County, New York",3163,287,1329,201,42.017072400,(X)
1400000U,36001013300,"Census Tract 133, Albany County, New York",4626,378,2228,270,48.162559447,(X)
1400000U,36001013400,"Census Tract 134, Albany County, New York",2331,288,1140,178,48.906048906,(X)
1400000U,36001013503,"Census Tract 135.03, Albany County, New York",5133,351,2413,223,47.009546074,(X)
1400000U,36001013505,"Census Tract 135.05, Albany County, New York",2821,233,1361,152,48.245303084,(X)
1400000U,36001013506,"Census Tract 135.06, Albany County, New York",6990,439,3563,396,50.972818312,(X)
1400000U,36001013507,"Census Tract 135.07, Albany County, New York",2322,153,1083,122,46.640826873,(X)
1400000U,36001013508,"Census Tract 135.08, Albany County, New York",6524,413,3113,286,47.716125077,(X)
1400000U,36001013601,"Census Tract 136.01, Albany County, New York",9269,504,4720,337,50.922429604,(X)
1400000U,36001013602,"Census Tract 136.02, Albany County, New York",4434,345,2210,328,49.842129003,(X)
1400000U,36001013703,"Census Tract 137.03, Albany County, New York",2601,222,1632,210,62.745098039,(X)
1400000U,36001013705,"Census Tract 137.05, Albany County, New York",6674,462,3046,280,45.639796224,(X)
1400000U,36001013706,"Census Tract 137.06, Albany County, New York",2107,147,933,112,44.280968201,(X)
1400000U,36001013707,"Census Tract 137.07, Albany County, New York",5907,329,2745,284,46.470289487,(X)
1400000U,36001013801,"Census Tract 138.01, Albany County, New York",7277,366,3344,299,45.953002611,(X)
1400000U,36001013802,"Census Tract 138.02, Albany County, New York",4206,278,2076,196,49.358059914,(X)
1400000U,36001013901,"Census Tract 139.01, Albany County, New York",2318,204,1187,136,51.207937877,(X)
1400000U,36001013902,"Census Tract 139.02, Albany County, New York",5475,203,2777,374,50.721461187,(X)
1400000U,36001014001,"Census Tract 140.01, Albany County, New York",4158,352,2179,246,52.405002405,(X)
1400000U,36001014002,"Census Tract 140.02, Albany County, New York",4666,470,2316,328,49.635662237,(X)
1400000U,36001014100,"Census Tract 141, Albany County, New York",5271,331,2365,223,44.868146462,(X)
1400000U,36001014201,"Census Tract 142.01, Albany County, New York",5612,361,2613,240,46.560940841,(X)
1400000U,36001014202,"Census Tract 142.02, Albany County, New York",5994,357,2882,254,48.081414748,(X)
1400000U,36001014203,"Census Tract 142.03, Albany County, New York",6556,312,3388,248,51.677852349,(X)
1400000U,36001014301,"Census Tract 143.01, Albany County, New York",3060,399,1441,195,47.091503268,(X)
1400000U,36001014302,"Census Tract 143.02, Albany County, New York",8395,340,4025,306,47.945205479,(X)
1400000U,36001014401,"Census Tract 144.01, Albany County, New York",4135,16,2165,134,52.357920193,(X)
1400000U,36001014402,"Census Tract 144.02, Albany County, New York",3228,33,1680,125,52.044609665,(X)
1400000U,36001014501,"Census Tract 145.01, Albany County, New York",2479,174,1352,143,54.538120210,(X)
1400000U,36001014502,"Census Tract 145.02, Albany County, New York",3454,180,1683,155,48.726114650,(X)
1400000U,36001014503,"Census Tract 145.03, Albany County, New York",2806,17,1378,72,49.109052031,(X)
1400000U,36001014606,"Census Tract 146.06, Albany County, New York",3546,242,1754,163,49.464184997,(X)
1400000U,36001014607,"Census Tract 146.07, Albany County, New York",8018,434,3781,292,47.156398104,(X)
1400000U,36001014608,"Census Tract 146.08, Albany County, New York",4246,335,2211,249,52.072538860,(X)
1400000U,36001014609,"Census Tract 146.09, Albany County, New York",4585,282,2567,280,55.986913850,(X)
1400000U,36001014611,"Census Tract 146.11, Albany County, New York",2209,153,1099,103,49.751018560,(X)
1400000U,36001014612,"Census Tract 146.12, Albany County, New York",1755,139,845,108,48.148148148,(X)
1400000U,36001014613,"Census Tract 146.13, Albany County, New York",2941,217,1625,203,55.253315199,(X)
1400000U,36001014614,"Census Tract 146.14, Albany County, New York",5371,335,2695,266,50.176875815,(X)
1400000U,36001014615,"Census Tract 146.15, Albany County, New York",2984,293,1446,202,48.458445040,(X)
1400000U,36001014700,"Census Tract 147, Albany County, New York",2894,134,1575,107,54.422944022,(X)
1400000U,36001014801,"Census Tract 148.01, Albany County, New York",2801,20,1489,80,53.159585862,(X)
1400000U,36001014802,"Census Tract 148.02, Albany County, New York",1652,135,798,82,48.305084746,(X)
1400000U,36001014803,"Census Tract 148.03, Albany County, New York",3353,18,1760,144,52.490307188,(X)
1400000U,36003940200,"Census Tract 9402, Allegany County, New York",2,3,0,12,0,(X)
1400000U,36003950100,"Census Tract 9501, Allegany County, New York",2308,154,1167,86,50.563258232,(X)
1400000U,36003950300,"Census Tract 9503, Allegany County, New York",4963,278,2415,171,48.660084626,(X)
1400000U,36003950400,"Census Tract 9504, Allegany County, New York",3746,293,1961,195,52.349172451,(X)
1400000U,36003950500,"Census Tract 9505, Allegany County, New York",3891,171,1932,124,49.653045490,(X)
1400000U,36003950600,"Census Tract 9506, Allegany County, New York",3616,257,1807,159,49.972345133,(X)
1400000U,36003950700,"Census Tract 9507, Allegany County, New York",3384,260,1669,160,49.320330969,(X)
1400000U,36003950800,"Census Tract 9508, Allegany County, New York",6187,191,3357,191,54.258930015,(X)
1400000U,36003950900,"Census Tract 9509, Allegany County, New York",3630,263,1825,171,50.275482094,(X)
1400000U,36003951000,"Census Tract 9510, Allegany County, New York",3296,260,1603,198,48.634708738,(X)
1400000U,36003951100,"Census Tract 9511, Allegany County, New York",3819,311,1804,207,47.237496727,(X)
